BoardNum,ChnNum,HG_Pedestal,LG_Pedestal
0,0, 41, 41
0,1, 36, 41
0,2, 37, 42
0,3, 39, 41
0,4, 38, 39
0,5, 37, 37
0,6, 38, 40
0,7, 38, 39
0,8, 38, 39
0,9, 39, 36
0,10, 37, 38
0,11, 39, 38
0,12, 39, 38
0,13, 44, 36
0,14, 45, 34
0,15, 38, 38
0,16, 39, 38
0,17, 42, 35
0,18, 45, 35
0,19, 44, 35
0,20, 37, 37
0,21, 41, 37
0,22, 43, 37
0,23, 46, 35
0,24, 45, 34
0,25, 38, 38
0,26, 38, 38
0,27, 38, 38
0,28, 38, 36
0,29, 43, 36
0,30, 44, 35
0,31, 44, 35
0,32, 43, 39
0,33, 40, 37
0,34, 42, 37
0,35, 45, 37
0,36, 34, 38
0,37, 44, 36
0,38, 41, 36
0,39, 32, 34
0,40, 42, 37
0,41, 38, 35
0,42, 40, 38
0,43, 42, 36
0,44, 43, 36
0,45, 43, 38
0,46, 40, 36
0,47, 40, 36
0,48, 38, 37
0,49, 42, 37
0,50, 43, 36
0,51, 42, 35
0,52, 41, 36
0,53, 40, 36
0,54, 38, 34
0,55, 37, 35
0,56, 42, 35
0,57, 40, 36
0,58, 39, 35
0,59, 38, 34
0,60, 38, 36
0,61, 37, 34
0,62, 37, 36
0,63, 32, 35
1,0, 25, 26
1,1, 25, 26
1,2, 24, 27
1,3, 27, 22
1,4, 23, 25
1,5, 24, 25
1,6, 25, 25
1,7, 26, 26
1,8, 26, 25
1,9, 24, 25
1,10, 25, 24
1,11, 25, 25
1,12, 24, 26
1,13, 26, 25
1,14, 25, 26
1,15, 25, 25
1,16, 26, 24
1,17, 31, 23
1,18, 30, 23
1,19, 26, 25
1,20, 25, 24
1,21, 31, 24
1,22, 30, 23
1,23, 31, 24
1,24, 25, 25
1,25, 26, 25
1,26, 25, 24
1,27, 28, 24
1,28, 27, 24
1,29, 30, 24
1,30, 30, 22
1,31, 29, 23
1,32, 17, 24
1,33, 26, 25
1,34, 25, 24
1,35, 29, 23
1,36, 28, 24
1,37, 28, 24
1,38, 26, 25
1,39, 31, 23
1,40, 28, 25
1,41, 28, 25
1,42, 27, 25
1,43, 31, 24
1,44, 28, 24
1,45, 27, 24
1,46, 30, 24
1,47, 30, 24
1,48, 29, 25
1,49, 30, 24
1,50, 29, 24
1,51, 29, 23
1,52, 26, 24
1,53, 27, 24
1,54, 29, 23
1,55, 29, 24
1,56, 27, 24
1,57, 28, 24
1,58, 27, 24
1,59, 27, 23
1,60, 26, 23
1,61, 25, 24
1,62, 21, 25
1,63, 24, 23
2,0, 25, 30
2,1, 20, 23
2,2, 21, 23
2,3, 21, 23
2,4, 22, 22
2,5, 21, 22
2,6, 21, 24
2,7, 21, 22
2,8, 22, 24
2,9, 20, 23
2,10, 23, 25
2,11, 21, 22
2,12, 21, 24
2,13, 21, 22
2,14, 23, 21
2,15, 21, 25
2,16, 21, 22
2,17, 21, 21
2,18, 25, 21
2,19, 26, 20
2,20, 20, 23
2,21, 21, 21
2,22, 24, 21
2,23, 26, 21
2,24, 26, 21
2,25, 22, 25
2,26, 22, 23
2,27, 21, 22
2,28, 21, 20
2,29, 26, 19
2,30, 27, 20
2,31, 25, 19
2,32, 30, 23
2,33, 20, 23
2,34, 21, 22
2,35, 21, 22
2,36, 24, 22
2,37, 25, 22
2,38, 26, 20
2,39, 24, 21
2,40, 26, 20
2,41, 22, 22
2,42, 23, 22
2,43, 26, 21
2,44, 26, 20
2,45, 27, 21
2,46, 24, 22
2,47, 25, 20
2,48, 24, 22
2,49, 24, 22
2,50, 26, 20
2,51, 25, 20
2,52, 25, 20
2,53, 24, 20
2,54, 24, 19
2,55, 26, 21
2,56, 24, 21
2,57, 26, 20
2,58, 23, 20
2,59, 24, 19
2,60, 21, 20
2,61, 24, 21
2,62, 18, 20
2,63, 19, 19
3,0, 24, 24
3,1, 20, 20
3,2, 21, 20
3,3, 21, 22
3,4, 20, 23
3,5, 21, 20
3,6, 20, 21
3,7, 20, 24
3,8, 20, 24
3,9, 21, 23
3,10, 20, 25
3,11, 20, 23
3,12, 22, 22
3,13, 24, 21
3,14, 27, 20
3,15, 20, 24
3,16, 21, 20
3,17, 23, 20
3,18, 26, 20
3,19, 26, 19
3,20, 20, 23
3,21, 21, 20
3,22, 22, 21
3,23, 28, 20
3,24, 28, 18
3,25, 20, 22
3,26, 19, 21
3,27, 21, 22
3,28, 23, 20
3,29, 26, 21
3,30, 26, 20
3,31, 27, 17
3,32, 26, 24
3,33, 22, 22
3,34, 21, 22
3,35, 25, 21
3,36, 27, 20
3,37, 27, 21
3,38, 24, 18
3,39, 26, 21
3,40, 24, 20
3,41, 25, 21
3,42, 26, 19
3,43, 28, 18
3,44, 29, 20
3,45, 26, 20
3,46, 25, 21
3,47, 27, 21
3,48, 27, 22
3,49, 28, 21
3,50, 26, 20
3,51, 26, 20
3,52, 26, 19
3,53, 24, 19
3,54, 23, 18
3,55, 26, 19
3,56, 22, 19
3,57, 27, 21
3,58, 27, 19
3,59, 25, 19
3,60, 25, 17
3,61, 23, 18
3,62, 24, 18
3,63, 19, 18
